Q#,Question Text,Type,Property,Mandatory,Field Class,Tier Trigger,Screening-Derived Recommendation Candidate,Source Row (FM&I tab)
1,Is the customer third party an entity listed on a stock exchange and subject to regulatory disclosure requirements (relating to adequate transparency on Beneficial Owners (BOs*))?,Dropdown,MASKYC Type listed entity,Yes,Factual,Simplified-eligible (Yes to any of Q1-4 -> Simplified),,29
1.1,Please provide details,Textbox,MASKYC Type listed entity details,No,Factual,Simplified-eligible (Yes to any of Q1-4 -> Simplified),,30
2,Is the customer third party a Financial Institution that is regulated by MAS or incorporated overseas that is subject to and supervised for compliance with AML/CFT requirements consistent with standards set by the Financial Action Task Force (FATF)?,Dropdown,MASKYC Type financial institution,Yes,Factual,Simplified-eligible (Yes to any of Q1-4 -> Simplified),,32
2.1,Please provide details,Textbox,MASKYC Type financial institution details,No,Factual,Simplified-eligible (Yes to any of Q1-4 -> Simplified),,33
3,Is the customer third-party a Singapore Government Entity?,Dropdown,MASKYC Type SG Gov Entity,Yes,Factual,Simplified-eligible (Yes to any of Q1-4 -> Simplified),,35
3.1,Please provide details,Textbox,MASKYC Type SG Gov Entity details,No,Factual,Simplified-eligible (Yes to any of Q1-4 -> Simplified),,36
4,"Is the customer a pension, superannuation or similar scheme that provides retirement benefits to employees, where contributions are made by way of deduction from wages, and the scheme rules do not permit the assignment of a members' interests under the scheme?",Dropdown,MASKYC Type pension or similar scheme,Yes,Factual,Simplified-eligible (Yes to any of Q1-4 -> Simplified),,38
4.1,Please provide details,Textbox,MASKYC Type pension or similar scheme details,No,Factual,Simplified-eligible (Yes to any of Q1-4 -> Simplified),,39
5,"Any of the connected parties (i.e., Directors), natural persons appointed to act on its behalf (i.e., Authorised Signatories), and/or BOs, is: (i) a foreign PEP* (current and former**) or a family member/close associate of a foreign PEP (current and former), from a higher ML/TF/PF risk jurisdiction and exercise substantial influence (e.g., executive authortiy, ultimate effective control, etc.) over the customer; or (ii) a PEP (current and former) or a family member/close assocaite of a PEP (current and former ) with adverse news related to ML/TF/PF, and exercise substantial influence over the customer.",Dropdown,MASKYC Type any PEPs,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),Yes — Q5 (PEP exposure),42
5.1,Please provide details,Textbox,MASKYC Type any PEPs details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,44
6,The UBO of the customer is a PEP who exercises sole or majority direct control over the customer.,Dropdown,MASKYC Type is any UBO PEP,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,46
6.1,Please provide details,Textbox,MASKYC Type is any UBO PEP details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,47
7,The source of funds to be invested or deployed originates from a PEP.,Dropdown,MASKYC Type does SOF originate from PEP,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,49
7.1,Please provide details,Textbox,MASKYC Type does SOF originate from PEP details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,50
8,"The customer or any of its BOs from or located in a country or jurisdiction under FATF ""Jurisdictions under Increased Monitoring (i.e. grey list)"" or ""High-Risk Jurisdictions subject to a Call for Action (i.e. black list)"".",Dropdown,MASKYC Type under FATF grey or black list,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,52
8.1,Please provide details,Textbox,MASKYC Type under FATF grey or black list details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,53
9,"The customer or any of its BOs from or located in a country/jurisdiction identified by credible sources (e.g. MAS, foreign regulatory authorities, reputable international bodies) as having inadequate and/or ineffective AML/CFT measures.",Dropdown,MASKYC Type country with poor AMLCFT measures,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,55
9.1,Please provide details,Textbox,MASKYC Type country with poor AMLCFT measures details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,56
10,"The customer or any of its BOs from or located in a country or jurisdiction identified by credible sources as having higher risk of terrorism financing (e.g. funding or supporting terrorist activities), or where designated terrorist organizations operate.",Dropdown,MASKYC Type country with higher TF or Terrorist risk,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,58
10.1,Please provide details,Textbox,MASKYC Type country with higher TF or Terrorist risk details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,59
11,"The customer or any of its BOs is: (i) subjected to sanctions or similar measures, or (ii) from or located in a country or jurisdiction that is subjected to sanctions or similar measures, issued by US Department of Treasury Office of Foreign Assets Control (OFAC), European Union, United Nations, UK Office of Financial Sanctions Implementation (OFSI).",Dropdown,MASKYC Type sanctioned by US EU UN UK,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),Yes — Q11 (sanctions exposure),61
11.1,Please provide details,Textbox,MASKYC Type sanctioned by US EU UN UK details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,62
12,"The customer is from higher risk businesses/activities/sectors identified in Singapore’s NRA, as well as other higher risk businesses/activities/sectors identified by the FI.",Dropdown,MASKYC Type higher risk business in SG NRA,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,64
12.1,Please provide details,Textbox,MASKYC Type higher risk business in SG NRA details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,65
13,The ownership structure unusual or excessively complex given the nature of the entity’s business.,Dropdown,MASKYC Type complex ownership structure,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,67
13.1,Please provide details,Textbox,MASKYC Type complex ownership structure details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,68
14,The customer is a personal asset holding vehicle.,Dropdown,MASKYC Type personal asset holding vehicle,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,70
14.1,Please provide details,Textbox,MASKYC Type personal asset holding vehicle details,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,71
15,"The business relations conducted under unusual circumstances (e.g., significant unexplained geographic distance).",Dropdown,MASKYC Type unusual circumstances of biz relations,Yes,Judgment,Enhanced-triggering (Yes to any of Q5-19 -> Enhanced),,73
