Item #,Wave,Applicable Tiers,Section (source),Question Text,Type,Property,Mandatory,Field Class,Predetermined Answer List,Source Row (FM&I tab)
1,N/A,"Typing display (resolved-tier readback, not a chase item)",Type of CDD,Type of CDD,Dropdown,MASKYC CDD Docs type of CDD,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),3
1.1,1,"All (Simplified, Standard, Enhanced)",Simplified / Standard / Enhanced,A. Is the Certificate of Incorporation or Registration (or equivalent) available?,Dropdown,MASKYC CDD Docs cert of incorporation,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),8
1.1.2,1,"All (Simplified, Standard, Enhanced)",Simplified / Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs cert of incorporation available remarks,No,Factual,,10
1.2,1,"All (Simplified, Standard, Enhanced)",Simplified / Standard / Enhanced,B. Is the Certificate of Incumbency or Company/Business Registration Extract (or its equivalent) available?,Dropdown,MASKYC CDD Docs company registration,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),11
1.2.2,1,"All (Simplified, Standard, Enhanced)",Simplified / Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs company registration available remarks,No,Factual,,13
1.3.,1,"All (Simplified, Standard, Enhanced)",Simplified / Standard / Enhanced,C. Is the Certificate of Change of Name (or equivalent) available?,Dropdown,MASKYC CDD Docs cert of change of name,No,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),14
1.3.2,1,"All (Simplified, Standard, Enhanced)",Simplified / Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs cert of change of name available remarks,No,Factual,,16
1.4,1,"All (Simplified, Standard, Enhanced)",Simplified / Standard / Enhanced,"D. Is the Constitution, Memorandum and Articles of Association, Limited Party Agreement, or Trust Deed (or its equivalent) available?",Dropdown,MASKYC CDD Docs constitution memorandum etc,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),17
1.4.2,1,"All (Simplified, Standard, Enhanced)",Simplified / Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs constitution memorandum etc available remarks,No,Factual,,19
2.1,1,"All (Simplified, Standard, Enhanced)",Simplified - 2A to 2E,A. Is Register of Directors (or its equivalent) available?,Dropdown,MASKYC CDD Docs Customer Reg of directors,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),23
2.1.2,1,"All (Simplified, Standard, Enhanced)",Simplified - 2A to 2E,Remarks,Textbox,MASKYC CDD Docs Customer Reg of directors remarks,No,Factual,,25
2.2,1,"All (Simplified, Standard, Enhanced)",Simplified - 2A to 2E,B. Is the Board Resolution (or other documentary proof) authorising/appointing natural persons to act on its behalf available?,Dropdown,MASKYC CDD Docs Customer board reso appointment of person act on behalf,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),26
2.2.2,1,"All (Simplified, Standard, Enhanced)",Simplified - 2A to 2E,Remarks,Textbox,MASKYC CDD Docs Customer board reso appointment of person act on behalf remarks,No,Factual,,28
2.3,1,"All (Simplified, Standard, Enhanced)",Simplified - 2A to 2E,"C. Is the Board resolution, clauses in official documents, or power of attorney (or its equivalent) authorising the customer to open account, subscribe, or transact (where applicable) available?",Dropdown,MASKYC CDD Docs Customer board reso or pwr of attorney to subscribe or transact,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),29
2.3.2,1,"All (Simplified, Standard, Enhanced)",Simplified - 2A to 2E,Remarks,Textbox,MASKYC CDD Docs Customer board reso or pwr of attorney to subscribe or transact remarks,No,Factual,,31
2.4,2,"Standard, Enhanced",Standard / Enhanced,"D. Is a copy of current Government-Issued Identification Documents (e.g. Identity Card, passport, etc.) available?",Dropdown,MASKYC CDD Docs Connected Party gov issued ID docs,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),33
2.4.2,2,"Standard, Enhanced",Standard / Enhanced,Remarks,Textbox,MASKYC CDD Docs Connected Party gov issued ID docs available remarks,No,Factual,,36
2.5,1,"All (Simplified, Standard, Enhanced)",Simplified - D. ...,E. Is the specimen signature or electronic means of verification (or its equivalent) available?,Dropdown,MASKYC CDD Docs person act on behalf specimen signature,Yes,Factual,Yes/No (inferred from question phrasing — not an explicit picklist in this workbook),38
